ScanName,Genotype,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%)
MAL_006536_XV,WT,2023-08-23-15:47:16.217385,10.4,0.355,0.197,32.91,15.81,22.39
MAL_006537_XV,WT,2023-08-23-15:49:54.525923,13.3,0.356,0.251,38.23,20.18,24.3
MAL-006498_XV,B_Enac,2023-08-23-15:52:35.049030,16.2,0.337,0.342,43.74,18.83,30.9
MAL-006499_XV,WT,2023-08-23-15:51:01.770129,11.2,0.333,0.239,30.29,17.12,18.41
MAL-006500_XV,WT,2023-08-23-15:50:15.040569,12.1,0.363,0.24,36.05,17.88,23.8
MAL-006501_XV,B_Enac,2023-08-23-15:57:40.904971,15.3,0.357,0.289,40.31,20.36,24.88
MAL-006502_XV,WT,2023-08-23-15:54:34.799341,14.4,0.381,0.21,36.94,20.32,23.81
MAL-006503_XV,B_Enac,2023-08-23-15:57:16.651112,17.6,0.345,0.268,43.5,21.84,26.53
MAL-006504_XV,WT,2023-08-23-15:53:56.931235,12.9,0.367,0.197,39.85,19.17,27.09
MAL-006517_XV,B_Enac,2023-08-23-15:51:49.526148,16.9,0.339,0.365,44.09,19.07,30.22
MAL-006518_XV,B_Enac,2023-08-23-15:57:38.695466,17,0.329,0.366,42.69,18.73,32.01
MAL-006519_XV,WT,2023-08-23-15:50:00.656468,11.8,0.333,0.249,34.89,18.71,24.33
MAL-006520_XV,B_Enac,2023-08-23-15:50:54.056468,19.2,0.337,0.33,48.41,23.71,33.89
MAL-006521_XV,B_Enac,2023-08-23-15:53:41.773284,15.9,0.378,0.35,41.26,20.97,29.27
MAL-006523_XV,WT,2023-08-23-15:46:36.739977,10.9,0.32,0.232,34.06,16.28,22.18
MAL-006524_XV,WT,2023-08-23-15:53:24.209860,12,0.334,0.245,33.32,17.69,22.01
MAL-006527_XV,WT,2023-08-23-15:43:35.312556,11.1,0.365,0.229,36.77,17.56,23.78
MAL-006528_XV,WT,2023-08-23-15:47:13.735430,9.79,0.378,0.238,32.59,16.92,19.78
MAL-006529_XV,B_Enac,2023-08-23-15:52:10.296985,15.7,0.382,0.297,39.15,19.71,29.26
MAL-006530_XV,B_Enac,2023-08-23-15:47:58.745524,15.5,0.369,0.265,41.48,21.1,25.35
MAL-006531_XV,WT,2023-08-23-15:49:03.475248,14.7,0.39,0.262,39.16,21.23,26.1
MAL-006532_XV,B_Enac,2023-08-23-15:50:37.126157,16.7,0.349,0.264,43.77,21.27,30.36
MAL-006533_XV,WT,2023-08-23-15:54:10.777130,15.6,0.378,0.245,41.88,22.13,26.08
MAL-006539_XV,B_Enac,2023-08-23-15:53:57.647485,15,0.354,0.259,43.9,20.06,30.14
MAL-006540_XV,B_Enac,2023-08-23-15:54:11.698720,16,0.315,0.333,40.15,19.28,29.08
MAL-006547_XV,B_Enac,2023-08-23-15:53:22.944282,15.8,0.355,0.327,40.2,20.72,25.26
MAL-006548_XV,B_Enac,2023-08-23-15:55:56.607310,17.4,0.328,0.246,46.01,20.55,31.05
MAL-006583_XV,WT,2023-08-23-15:52:50.404602,16.9,0.276,0.134,53.12,17.51,40.23