ScanName,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%)
ATEAM-919-PC_XV_INSP-Sheep_KG_78_KG_78-PostBronch,19.2,0.139,0.198182,65.8867,39.443,35.983
ATEAM-899-PC_XV_INSP-Sheep_KG_61_KG_61-PostBronch,17,0.138,0.257896,57.5943,37.7748,23.4486
ATEAM-914-KG_73-POST,15.2,0.15,0.261681,56.16,30.7923,34.1643
ATEAM-918-PC_XV_INSP-Sheep_KG_77_KG_77-PostBronch,21.3,0.107,0.228403,67.9702,48.4979,38.1766
ATEAM-912-KG_70-POST,19.4,0.12,0.492437,69.6645,27.1554,55.6904
ATEAM-911-KG_69-POST,18.1,0.134,0.463267,61.0595,32.2868,38.7601
ATEAM-916-PC_XV_INSP-Sheep_KG_75_KG_75-PostBronch,19.8,0.115,0.263338,66.7621,43.73,26.621
ATEAM-913-KG_72-POST,18.4,0.106,0.313568,65.2986,35.3516,45.3573
ATEAM-915-PC_XV_INSP-Sheep_KG_74_KG_74-PostBronch,27.8,0.112,0.178309,101.663,60.1558,76.1008
ATEAM-910-KG_67-POST,23.1,0.134,0.242382,75.0406,35.0903,48.9902
ATEAM-907-PC_XV_INSP-Sheep_KG_62_KG_62-PostBronch,26,0.146,0.414427,88.9942,42.1887,59.8435
ATEAM-917-PC_XV_INSP-Sheep_KG_76_KG_76-PostBronch,25.5,0.111,0.177842,87.6913,48.7267,76.7575
ATEAM-909-KG_64-POST,11.4,0.126,0.241396,50.0938,27.7012,39.8954
ATEAM-908-KG_63-POST,18,0.1078,0.20098,60.6418,39.644,31.8621