ScanName,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%)
KG_55_A,2021-03-22-17:05:57.713915,21.4,0.12,285.918,68.44,37.68,36.43
KG_14_B,2021-03-17-19:05:11.346516,20.0,0.12,302.865,70.81,40.26,48.16
KG_27_B,2021-03-17-19:04:47.532855,14.6,0.13,386.701,49.58,31.02,29.53
KG_01_A,2021-03-17-19:03:38.319948,21.5,0.15,253.233,71.34,33.05,39.59
KG_56_A,2021-03-22-17:07:06.870849,24.8,0.13,358.385,87.73,43.84,60.38
KG_60_B,2021-03-22-17:07:28.158524,17.9,0.15,182.0,60.73,29.96,35.71
KG_29_B,2021-03-17-19:04:48.629984,20.9,0.12,197.316,74.64,42.32,54.57
KG_47_A,2021-03-22-17:06:27.715401,19.0,0.13,209.655,68.4,40.53,31.69
KG_36_B,2021-03-22-17:08:44.542422,20.7,0.11,198.027,73.89,42.27,43.39
KG_22_B,2021-03-17-19:04:36.378281,25.1,0.13,177.873,90.72,49.18,55.12
KG_47_B,2021-03-22-17:08:53.539118,25.1,0.14,222.251,84.44,40.69,53.96
KG_08_B,2021-03-17-19:07:15.854464,28.8,0.1,151.08,98.41,51.56,64.76
KG_25_A,2021-03-17-19:05:03.632934,18.3,0.11,251.753,63.8,33.96,43.31
KG_13_B,2021-03-22-17:07:40.181915,23.9,0.13,231.712,80.15,45.94,48.62
KG_16_B,2021-03-17-19:03:38.228974,16.8,0.12,241.888,62.81,34.62,37.66
KG_38_B,2021-03-22-17:08:18.696357,21.7,0.12,277.64,73.87,46.65,35.92
KG_18_A,2021-03-17-18:50:00.654384,23.7,0.13,174.275,75.64,39.84,54.69
KG_30_B,2021-03-22-17:07:17.239918,21.2,0.1,183.802,71.74,50.58,32.87
KG_09_A,2021-03-17-19:03:50.338448,16.0,0.11,353.305,54.78,33.16,36.97
KG_25_B,2021-03-17-19:04:46.158494,18.4,0.12,273.945,65.85,35.1,50.13
KG_58_A,2021-03-22-17:07:12.686747,18.2,0.11,209.218,58.19,38.9,26.78
KG_24_B,2021-03-17-19:04:39.223922,22.0,0.12,300.495,73.25,46.39,27.27
KG_02_B,2021-03-17-19:33:55.278532,21.7,0.14,287.773,72.23,46.22,35.83
KG_32_A,2021-03-22-17:06:38.831326,23.7,0.12,223.954,74.4,34.53,58.5
KG_58_B,2021-03-22-17:07:21.153368,19.6,0.1,193.216,67.0,42.18,45.86
KG_11_B,2021-03-17-19:06:15.253543,19.4,0.13,185.073,65.41,38.18,40.69
KG_29_A,2021-03-17-19:03:30.209355,20.9,0.12,212.738,73.76,41.44,40.43
KG_38_A,2021-03-22-17:07:11.044390,20.1,0.14,321.068,64.96,34.54,36.69
KG_57_A,2021-03-22-17:06:20.960821,23.4,0.12,211.711,76.76,38.11,52.66
KG_45_A,2021-03-22-17:06:47.893940,20.5,0.14,203.003,73.38,40.8,47.3
KG_06_B,2021-03-17-19:06:00.088536,24.1,0.12,388.67,83.5,40.54,67.97
KG_60_A,2021-03-22-17:07:19.127883,20.3,0.14,169.212,70.9,41.24,35.78
KG_07_A,2021-03-17-19:03:20.387029,25.3,0.13,209.428,88.42,44.99,50.93
KG_11_A,2021-03-17-19:03:25.958337,22.3,0.15,219.415,72.81,31.7,54.73
KG_56_B,2021-03-22-17:09:14.067157,21.0,0.12,342.677,71.0,42.09,47.61
KG_15_A,2021-03-17-19:03:40.159150,20.3,0.1,217.381,69.88,35.51,43.54
KG_35_A,2021-03-22-17:07:23.718098,23.6,0.11,251.655,82.18,45.0,49.16
KG_55_B,2021-03-22-17:08:26.124098,22.3,0.11,267.322,79.54,44.63,48.69
KG_52_A,2021-03-22-17:06:12.535061,26.6,0.15,183.708,94.05,45.18,67.23
KG_30_A,2021-03-22-17:05:57.899291,23.0,0.12,217.838,82.27,48.09,55.38
KG_06_A,2021-03-17-19:02:44.702985,21.7,0.12,408.225,72.55,35.67,51.85
KG_22_A,2021-03-17-19:04:28.255993,25.8,0.14,199.127,90.24,40.68,55.59
KG_16_A,2021-03-17-19:03:31.859181,19.0,0.12,236.606,66.58,37.59,38.14
KG_40_B,2021-03-22-17:09:35.003465,23.6,0.12,221.644,78.77,39.09,45.09
KG_14_A,2021-03-17-18:49:51.357190,19.0,0.12,302.303,66.5,41.07,42.53
KG_57_B,2021-03-22-17:07:16.045812,20.6,0.13,231.023,69.76,35.9,56.31
KG_36_A,2021-03-22-17:06:35.813034,22.6,0.12,207.756,75.84,44.8,31.93
KG_18_B,2021-03-17-19:04:04.561746,21.4,0.15,202.947,69.04,31.95,44.15
KG_32_B,2021-03-22-17:06:18.256459,25.1,0.14,255.874,81.36,33.19,64.06
KG_15_B,2021-03-17-19:05:35.674154,21.8,0.11,248.427,75.12,35.3,48.17
KG_35_B,2021-03-22-17:07:52.992763,19.8,0.13,286.203,64.92,37.06,33.55
KG_40_A,2021-03-22-17:06:24.713540,24.8,0.16,283.541,87.57,40.03,56.22
KG_52_B,2021-03-22-17:21:50.234843,27.6,0.15,186.117,96.16,48.8,52.9
KG_45_B,2021-03-23-00:50:26.296816,22.0,0.14,210.331,77.88,41.48,48.48
KG_08_A,2021-03-17-19:03:31.129529,25.1,0.11,156.432,87.87,42.84,45.26
KG_07_B,2021-03-17-19:05:20.887462,22.8,0.16,246.339,76.9,36.7,45.24
KG_02_A,2021-03-17-19:03:21.142200,21.0,0.13,253.432,71.39,41.29,40.87
KG_27_A,2021-03-17-19:06:00.440156,18.2,0.1,307.929,57.86,35.61,33.24
KG_24_A,2021-03-17-19:06:24.897956,23.2,0.12,306.151,79.13,52.06,27.59
KG_13_A,2021-03-22-22:17:24.413141,18.1,0.14,246.946,63.26,38.54,37.51
KG_01_B,2021-03-17-19:04:02.048432,21.4,0.14,239.075,71.02,37.27,39.14
KG_09_B,2021-03-17-19:05:07.058343,19.1,0.12,379.052,60.95,32.53,40.94