ScanName,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),Beads,Sex,Weight,Age,Bead_loc
3531-WT-POST,2021-08-31-22:04:57.601611,26.8,0.16,0.11,80.61,24.82,60.75,Post_beads,M,296,66,LMB
3535-WT-POST,2021-08-31-22:01:39.702515,15,0.14,0.121,48.97,17.75,38.08,Post_beads,M,307,63,LMB
3542-WT-POST,2021-08-31-21:57:59.395790,24.9,0.18,0.089,73.05,20.04,58.7,Post_beads,F,185,66,RMB
3751_beads,2022-01-08-08:05:19.192024,30.3,0.2,0.118,82.34,26.08,66.91,Post_beads,F,240,93,LMB
3754_beads,2022-01-08-16:37:17.308743,27.8,0.19,0.132,76.13,25.33,58.69,Post_beads,F,241,93,LMB
3756_beads,2022-01-08-18:27:06.718811,28.2,0.17,0.115,81.49,23.68,67.16,Post_beads,F,242,93,RMB
3757_beads,2021-12-11-06:49:39.468025,23.5,0.17,0.125,72.33,22.62,57.56,Post_beads,M,293,86,RMB
3761_beads,2021-12-15-21:05:55.196338,21.5,0.16,0.147,58.4,21.47,44.47,Post_beads,M,355,86,RMB
3774_beads,2021-12-11-06:53:37.912214,25.7,0.14,0.137,72.94,27.13,49.1,Post_beads,M,391,84,LMB
3865beads,2022-03-29-03:03:45.583481,23.9,0.16,0.125,70.02,24.28,52.42,Post_beads,M,506,103,LMB
3890beads,2022-04-05-01:40:35.765213,23.5,0.17,0.122,71.43,23.75,61.38,Post_beads,F,227,111,RMB
3906beads,2022-03-26-00:29:12.059802,28.2,0.12,0.126,87.51,25.64,67.82,Post_beads,M,512,103,RMB
3908beads,2022-03-26-00:11:14.227070,22.6,0.12,0.142,64.47,23.9,43.44,Post_beads,M,506,103,LMB
4053_beads,2022-07-31-12:53:05.268326,29,0.19,0.099,77.71,25.89,61.16,Post_beads,M,240,59,RMB
4055_beads,2022-06-26-08:54:57.248235,30.1,0.18,0.116,84.97,25.16,68.01,Post_beads,M,250,59,LMB
4570_KO_BEADS,2023-06-29-05:34:33.830322,23.9,0.201,1.098,71.28,20.64,53.29,Post_beads,F,178,81,RMB
4572_KO_BEADS,2023-06-13-10:21:19.045034,18.4,0.188,1.143,54.35,21.39,37.92,Post_beads,F,194,81,RMB
4869_WT_BEADS,2023-07-05-21:11:07.112496,45.5,0.15,1.001,131.25,32.61,109.5,Post_beads,F,257,76,RMB
BeadsCF508RAT3378,2021-07-20-20:47:39.809198,26.6,0.15,0.1,80.13,21.94,57.45,Post_beads,F,195,50,RMB
BeadsCF510RAT3359,2021-07-22-21:05:36.460605,34,0.18,0.086,93.02,23.05,77.94,Post_beads,F,168,60,RMB
BeadsCF510RAT3361,2021-07-28-22:21:14.014545,34.9,0.2,0.075,110.15,24,104.63,Post_beads,F,137,60,LMB
BeadsDeadNormalRAT3362,2021-06-03-09:23:28.561091,33.8,0.14,0.412,90.16,13.48,85.24,Post_beads,F,173,60,RMB
CF508RAT3240beads,2021-03-16-21:53:05.963019,33.7,0.14,0.073,97.28,27.45,80.8,Post_beads,F,188,63,RMB
CF508RAT3242beads,2021-03-16-23:06:33.262689,34.3,0.17,0.087,108.42,25.57,99.65,Post_beads,F,204,63,LMB
CF508RAT3245beads,2021-03-17-19:17:59.850366,42.8,0.15,0.08,117.04,28.81,103.11,Post_beads,F,216,63,RMB
CF508RAT3246beads,2021-03-17-16:41:51.608835,39.9,0.16,0.1,111.11,27.33,103.84,Post_beads,F,230,63,LMB
CF510RAT3213beads,2021-02-19-17:17:35.930202,38.8,0.17,0.097,130.22,24.6,126.08,Post_beads,F,222,94,LMB
CF510RAT3227beads,2021-02-19-16:52:24.828351,35.7,0.17,0.091,106.61,21.67,99.49,Post_beads,M,246,74,RMB
CF510RAT3232beads,2021-03-17-19:12:57.792171,41.3,0.17,0.079,124.07,23.21,123.64,Post_beads,F,198,74,RMB
RAT3108Beads_FPS15625_TP10_I3E7,2021-01-08-22:50:33.767561,15.8,0.12,0.09,51.85,17.25,41.41,Post_beads,N/A,N/A,N/A,N/A
RAT3109Z10beads,2021-02-17-03:34:42.201085,20,0.14,0.133,59.21,19.76,47.77,Post_beads,F,305,130,LMB
RAT3110beads,2021-02-17-03:34:45.880388,40.6,0.14,0.092,123.28,29.38,115.38,Post_beads,F,240,130,RMB
RAT3111beads,2021-02-17-20:35:40.303752,19.1,0.14,0.098,53.6,21.62,42.73,Post_beads,F,277,130,LMB
RAT3168beads,2021-02-17-20:44:27.999390,38.9,0.17,0.097,111.23,28.13,104.34,Post_beads,M,263,81,RMB
RAT3177beads,2021-02-17-23:41:53.871525,20.4,0.18,0.126,59.25,20.41,50.54,Post_beads,F,205,81,LMB
RAT3180beads,2021-01-07-21:18:29.472491,38.7,0.15,0.113,124.66,26.81,112.98,Post_beads,M,316,77,LMB
RAT3181beads,2021-02-17-20:54:02.004769,28.8,0.15,0.102,82.59,29.06,57.67,Post_beads,F,220,77,RMB
RepeatBeadsNormalRAT3370,2021-06-28-14:48:33.175442,26.2,0.15,0.097,76.12,28.34,59.77,Post_beads,M,290,56,RMB
S11_KO_BEADS,2023-06-29-05:50:41.190628,16.4,0.199,1.114,49.53,16.8,38.1,Post_beads,F,165,65,RMB
S12_BEADS,2023-06-13-10:46:06.120738,24,0.132,1.072,70.86,23.64,44.91,Post_beads,M,368,65,RMB
S13_BEADS,2023-06-13-10:45:21.885873,22.3,0.139,1.117,66.04,24.1,44.15,Post_beads,M,371,65,LMB
S14_WT_BEADS,2023-06-13-10:46:11.107890,25.8,0.147,1.063,78.32,25.14,53.46,Post_beads,M,329,65,LMB
S15_508_BEADS,2023-06-13-10:46:43.413465,19.5,0.16,1.112,55.36,20.67,37.91,Post_beads,M,280,65,RMB
S17_508_BEADS,2023-06-13-10:42:55.478835,31.1,0.186,0.958,98.96,24.81,80.42,Post_beads,F,205,65,LMB
S176_WT_BEADS,2023-07-05-20:51:29.952561,29.8,0.184,1.318,84.48,22.05,71.53,Post_beads,F,265,80,LMB
S187_WT_BEADS,2023-07-05-20:42:18.424395,44.6,0.138,1.005,125.16,33.09,108.61,Post_beads,F,295,76,RMB
S52_KO_BEADS,2023-07-05-19:38:01.945833,13.5,0.243,1.136,43.77,15.24,35.84,Post_beads,F,130,53,LMB
S6_BEADS,2023-05-15-04:04:56.051701,23.5,0.196,1.131,66.97,22.31,50.39,Post_beads,F,189,65,LMB
S8_KO_BEADS,2023-07-05-20:28:45.133168,24.2,0.188,1.096,72.26,21.46,53.65,Post_beads,F,185,65,RMB
WTRAT3186beads,2021-02-16-04:46:19.759453,30.6,0.12,0.111,75.98,28.26,60.69,Post_beads,M,440,97,RMB
WTRAT3187beadsDead,2021-02-19-13:54:06.307548,34,0.07,0.04,86.96,30.29,69.57,Post_beads,M,383,96,LMB
WTRAT3195beads,2021-02-18-22:25:48.237799,36.6,0.16,0.082,107.38,32.12,94.58,Post_beads,F,259,111,RMB
WTRAT3196beads,2021-02-19-17:43:41.705752,17.9,0.15,0.121,53.84,24.21,40.26,Post_beads,F,243,111,LMB